       256	255	  0.00466037	  0.00338840
       256	3494	  0.00567722	  0.00696468
       256	6733	  0.01122332	  0.00915718
       256	9972	  0.01542759	  0.00577998
       256	13211	  0.01071215	  0.01996350
       256	16450	  0.02086186	  0.02065301
       256	19688	  0.01786137	  0.01435924
       256	22926	  0.03182077	  0.01762176
       256	26164	  0.02988386	  0.02813721
       256	29402	  0.02855420	  0.03769493
       256	32640	  0.02898455	  0.02217770
       512	511	  0.00937033	  0.02083683
       512	13542	  0.01227903	  0.02656555
       512	26573	  0.02617455	  0.03082490
       512	39604	  0.03214502	  0.03795934
       512	52635	  0.08050847	  0.08096361
       512	65666	  0.08132458	  0.07903838
       512	78696	  0.08084989	  0.13415003
       512	91726	  0.08766723	  0.08201861
       512	104756	  0.09496355	  0.09950686
       512	117786	  0.13462830	  0.11654735
       512	130816	  0.11367464	  0.17892075
      1024	1023	  0.00123858	  0.06879306
      1024	53299	  0.05425429	  0.08686805
      1024	105575	  0.09499240	  0.15715432
      1024	157851	  0.16162038	  0.24225020
      1024	210126	  0.20892024	  0.27010679
      1024	262401	  0.26694465	  0.31660318
      1024	314676	  0.34261560	  0.39585161
      1024	366951	  0.41015315	  0.49307752
      1024	419226	  0.46886897	  0.49997425
      1024	471501	  0.64373326	  0.56591153
      1024	523776	  0.58196259	  0.63944268
      2048	2047	  0.01226187	  0.24306965
      2048	211456	  0.24180150	  0.45206833
      2048	420864	  0.50060940	  0.70015693
      2048	630272	  1.93541646	  2.44909382
      2048	839680	  2.54124665	  3.37900066
      2048	1049088	  3.27044296	  3.61109328
      2048	1258496	  4.28406620	  5.26942396
      2048	1467904	  5.16041207	  5.32957697
      2048	1677312	  5.85062623	  5.84022808
      2048	1886720	  6.19009638	  6.43758869
      2048	2096128	  6.65894794	  7.70987463
      4096	4095	  0.13286233	  2.76804614
      4096	842342	  2.96675944	  5.50986266
      4096	1680589	  5.80644155	  8.63995099
      4096	2518836	  8.77767181	 12.66815972
      4096	3357083	 11.42998266	 13.83158946
      4096	4195330	 15.13026690	 16.42336941
      4096	5033576	 17.64651084	 19.11157417
      4096	5871822	 18.09676361	 22.23155069
      4096	6710068	 24.19733071	 24.82360101
      4096	7548314	 28.76803350	 28.41277051
      4096	8386560	 21.99423623	 15.70573997
